Sunday,left on shelf,amount decrease,Monday,left on shelf,amount decrease,Tuesday,left on shelf,amount decrease,Wednesday,left on shelf,amount decrease,Thursday,left on shelf,amount decrease,Friday,left on shelf,amount decrease,Saturday,left on shelf,amount decrease
orange,0.7,0.1,orange,0.3,0.4,orange; strawberry,0.9,0.3; 0.1,strawberry,0.5,0.4,straw,0.1,0.4,straw,0.9,0.2,,,
,,,,,,,,,,,,,,,,,,,,
,,3.2,,,4.37,,,4.37,,,4.3,,,4,,,2.8,,,
,,,,,,,,,,,,,,,,,,,,
2/16,left on shelf,amount decreased,2/17,left on shelf,amount decreased,2/18,left on shelf,amount decreased,2/19,left on shelf,amount decreased,2/20,left on shelf,amount decreased,2/21,left on shelf,amount decreased,2/22,left on shelf,amount decreased
choc,1,0.7,CLOSED,,,chocolate,0.5,0.5,choc,0.65,0.85,choc,0.5,1.15,choc; dawg,0.7,0.5; 0.3,dawg,0.9,0.8
butter p,0,0.3,,,,tcp,0.9,0.1,tcp,0.65,0.25,tcp; salted c,0.8,0.65; 0.2,salted c,0.5,0.3,salted; scbc,1,0.5; 0
mint,0.3,0.6,,,,mcc,0.3,1,mint,0.3,1,mint; straw ch,1,0.3; 0,straw ch,0.1,0.9,cc,0.1,0.2
spu,0,0.5,,,,sc,0.15,0.85,sc; orange,0.5,0.15; 0.5,orange; cc,0.5,0.5; 0.5,cc,0.2,0.3,maf,0.7,0.2
vanilla,0.4,0.3,,,,van,0.05,0.35,vanilla,0.5,0.55,vanilla,0.8,0.7,vanilla,0.2,0.6,Vanilla,0.1,0.1
cbp (mys),0.7,0.3,,,,cbp (mys),0.25,0.45,cbp (mys),0.1,0.15,cbp (mys),0.5,0.6,cbp (mys),0.2,0.3,cbp (mys),0.1,0.1
huckle,0.6,0.4,,,,huckleberry,0.1,0.5,huckle,0.3,0.8,huckle,0.1,1.2,huckle,0.6,0.5,straw ch; straw,0.8,0.1; 0.2
straw,0.6,0.3,,,,strawberry,0,0.6,maf,0.3,0.7,maf,0.5,0.8,maf,0.9,0.6,huckle,0.2,0.4
,,,,,,,,,,,,,,,,,,,,
,,3.4,,,,,,4.35,,,4.95,,,6.6,,,4.3,,,2.6
,,,,,,,,,,,,,,,,,,,,
2/23,left on shelf,amount decreased,2/24,left on shelf,amount decreased,2/25,left on shelf,amount decreased,2/26,left on shelf,amount decreased,2/27,left on shelf,amount decreased,2/28,left on shelf,amount decreased,3/1,left on shelf,amount decreased
